Batch,Sample Type,Sample Description,code,Parameter,Result,Unit,CONHI,RPD/%REC,CHANGED,#Changed,Comment,,
140,QA/QC,Check Standard,45,Nitrate-Nitrite,2.2,mg/L,,,,,,2.2,mg/L
140,QA/QC,Check Standard,45,Nitrate-Nitrite,2.1,mg/L,,,,,,2.1,mg/L
140,QA/QC,Check Standard,45,Nitrate-Nitrite,2.1,mg/L,,,,,,2.1,mg/L
140,QA/QC,Check Standard,45,Nitrate-Nitrite,1.8,mg/L,,,,,,1.8,mg/L
140,QA/QC,Check Standard,45,Nitrate-Nitrite,2.11,mg/L,,,,,,2.11,mg/L
140,QA/QC,Check Standard,45,Nitrate-Nitrite,2.2,mg/L,,,,,,2.2,mg/L
140,QA/QC,Check Standard,45,Total Phosphorus,0.122,mg/L,,,,,,122,ppb
140,QA/QC,Check Standard,45,Total Phosphorus,0.124,mg/L,,,,,,124,ppb
140,QA/QC,Check Standard,45,Total Phosphorus,0.12,mg/L,,,,,,120,ppb
140,QA/QC,Check Standard,45,Total Phosphorus,0.103,mg/L,,,,,,103,ppb
140,QA/QC,Check Standard,45,Total Phosphorus,0.0862,mg/L,,,,,,86.2,ppb
140,QA/QC,Check Standard,45,Total Phosphorus,0.0788,mg/L,,,,,,78.8,ppb
140,QA/QC,Check Standard,45,Total Phosphorus,0.0946,mg/L,,,,,,94.6,ppb
140,QA/QC,Check Standard,45,Total Phosphorus,0.1,mg/L,,,,,,100,ppb
140,QA/QC,Check Standard,45,Total Phosphorus,0.1,mg/L,,,,,,100,ppb
140,RW16-5174,Unknown,5,Chloride,23.4,mg/L,,,,,,23.4,mg/L
140,RW16-5174,Unknown,5,Sulfate,297,mg/L,,,,,,297,mg/L
140,RW16-5174,Unknown,5,TSS,21.5,mg/L,,,,,,21.5,mg/L
140,RW16-5174,Unknown,5,Nitrate-Nitrite,0.138,mg/L,,,,,,0.138,mg/L
140,RW16-5174,Unknown,5,Total Phosphorus,0.102,mg/L,,,,,,102,ppb
140,RW16-5175,Unknown,5,Chloride,1.3,mg/L,,,,,,1.3,mg/L
140,RW16-5175,Unknown,5,Sulfate,122,mg/L,,,,,,122,mg/L
140,RW16-5175,Unknown,5,TSS,4.1,mg/L,,,,,,4.15,mg/L
140,RW16-5175,Unknown,5,Nitrate-Nitrite,0.26,mg/L,,,,,,0.26,mg/L
140,RW16-5175,Unknown,5,Total Phosphorus,0.0375,mg/L,,,,,,37.5,ppb
140,RW16-5176,Unknown,5,Chloride,28.6,mg/L,,,,,,28.6,mg/L
140,RW16-5176,Unknown,5,Sulfate,159,mg/L,,,,,,159,mg/L
140,RW16-5176,Unknown,5,TSS,0,mg/L,,,,,,0.6,mg/L
140,RW16-5176,Unknown,5,Nitrate-Nitrite,0.087,mg/L,,,,,,0.087,mg/L
140,RW16-5176,Unknown,5,Total Phosphorus,0.0411,mg/L,,,,,,41.1,ppb
140,RW16-5177,Unknown,5,Chloride,27,mg/L,,,,,,27,mg/L
140,RW16-5177,Unknown,5,Sulfate,114,mg/L,,,,,,114,mg/L
140,RW16-5177,Unknown,5,TSS,0,mg/L,,,,,,1.1,mg/L
140,RW16-5177,Unknown,5,Nitrate-Nitrite,0.17,mg/L,,,,,,0.17,mg/L
140,RW16-5177,Unknown,5,Total Phosphorus,0.0414,mg/L,,,,,,41.4,ppb
140,RW16-5178,Unknown,5,Chloride,27,mg/L,,,,,,27,mg/L
140,RW16-5178,Unknown,5,Sulfate,123,mg/L,,,,,,123,mg/L
140,RW16-5178,Unknown,5,TSS,0,mg/L,,,,,,2.4,mg/L
